100, 100,0.0
100, 300,0.0
100, 500,0.0
100, 1000,0.0
100, 2000,0.0
100, 4000,0.0
300, 100,0.0
300, 300,0.0
300, 500,0.0
300, 1000,0.0
300, 2000,0.0
300, 4000,0.0
500, 100,0.0
500, 300,0.0
500, 500,0.0
500, 1000,0.0
500, 2000,0.0
500, 4000,0.0
1000, 100,0.0
1000, 300,0.0
1000, 500,0.0031
1000, 1000,0.0
1000, 2000,0.0
1000, 4000,0.0
2000, 100,0.0031
2000, 300,0.0031
2000, 500,0.0031
2000, 1000,0.0031
2000, 2000,0.0
2000, 4000,0.0
4000, 100,0.0031
4000, 300,0.0031
4000, 500,0.0063
4000, 1000,0.0031
4000, 2000,0.0031
4000, 4000,0.0031
5000, 100,0.0063
5000, 300,0.0063
5000, 500,0.0031
5000, 1000,0.0031
5000, 2000,0.0063
5000, 4000,0.0063
8000, 100,0.0063
8000, 300,0.0094
8000, 500,0.0063
8000, 1000,0.0063
8000, 2000,0.0094
8000, 4000,0.0094
10000, 100,0.0063
10000, 300,0.0063
10000, 500,0.0094
10000, 1000,0.0094
10000, 2000,0.0063
10000, 4000,0.0094
